S.No,ProductName,MRP
1,TURMERIC POWDER 500GM,125
2,RICE MV SIVAJ 26KG,1600
3,WHITE HORSE RICE 26 KG,1300
4,BROKEN RICE 26KG,1000
5,ORID DHALL 50KG BAG,7500
6,MOON DHALL 50KG BAG,6500
7,CHENNA WHITE GRAM,180
8,VENTHAYAM (METHI),4200
9,TOOR DHALL 50KG BAG,6700
10,SUGAR 50KG BAG,2400
11,DRYED CHIK PEAS 30KG BAG,3200
12,KAMBU ( BAJRA),2000
13,RF SAMBA RAVA 500 GM,100
14,RF RAGI FLOUR 500GM,40
15,RF RICE FLOUR 500GM,40
16,RF KAMBU MAVU,75
17,KASAKASA (POPYSEED),1750
18,CHILLI POWDER 500GM,250
19,SAKTHI CORIANDER POWDER 500GM,157
20,SAKTHI BAJJI BONDA POWDER 200,41
21,UDHAYA KRISHNA GHEE 1LITRE JAR,950
22,UDHAYA KRISHNA GHEE 200ML JAR ,200
23,SAKTHI TURMERIC POWDER 50GM,24
24,SAKTHI TURMERIC POWDER 100GM,30
25,SAKTHI CHILLI POWDER 50GM,23
26,SAKTHI CHILLI POWDER 100GM,46
27,SAKTHI KARMIRI CHILLI POWDER 50GM,60
28,SAKTHI CORIANDER POWDER 100GM,31
29,SAKTHI PEPPER POWDER 50GM,90
30,SAKTHI SAMBAR POWDER 100GM,56
31,SAKTHI SAMBAR POWDER 50GM,29
32,SAKTHI CHICKEN MASALA 50GM,35
33,SAKTHI GARAM MASALA 50GM,50
34,SAKTHI MUTTON MASALA 50GM,40
35,SAKTHI MUTTON MASALA 100GM,90
36,SAKTHI BRIYANI MASALA 50GM,40
37,SAKTHI CHILLI CHICKEN 65 50GM,39
38,SAKTHI RAGI FLOUR 500GM,47
39,UDHAYA KRISHNA GHEE 100ML,120
40,UDHAYA KRISHNA GHEE 200ML,210
41,UDHAYA KRISHNA GHEE 10RS,10
42,HIDE&SEEK CHOCOCHIP 30,30
43,PAR MELODY CHOCOLATE,50
44,AC TURMERIC POWDER 50GM,21
45,AC TURMERIC POWDER 500GM,210
46,AC GARAM MASALA 100GM,72
47,AC CHICKEN MASALA 50GM,25
48,AC CHICKEN MASALA 100GM,42
49,AC SAMBAR POWDER 50GM,23
50,AC KULAMBU CHILLI POWDER 200GM,72
51,AC CORIANDER POWDER 50GM,14
52,AC CORIANDER POWDER 100GM,36
