ProductName,MRP,SKU,Subcategory,Unit,Stock,MinStock,Description
TURMERIC POWDER 500GM,125,TURPOW500-0001,SPICES,packet,100,10,TURMERIC POWDER 500GM
RICE MV SIVAJ 26KG,1600,RICMVSIV-0002,RICE,bag,100,10,RICE MV SIVAJ 26KG
WHITE HORSE RICE 26 KG,1300,WHIHORRIC-0003,RICE,bag,100,10,WHITE HORSE RICE 26 KG
BROKEN RICE 26KG,1000,BRORIC26K-0004,RICE,bag,100,10,BROKEN RICE 26KG
ORID DHALL 50KG BAG,7500,ORIDHA50K-0005,DHALL,bag,100,10,ORID DHALL 50KG BAG
MOON DHALL 50KG BAG,6500,MOODHA50K-0006,DHALL,bag,100,10,MOON DHALL 50KG BAG
CHENNA WHITE GRAM,180,CHEWHIGRA-0007,DHALL,packet,100,10,CHENNA WHITE GRAM
VENTHAYAM (METHI),4200,VENMET-0008,SEEDS,piece,100,10,VENTHAYAM (METHI)
TOOR DHALL 50KG BAG,6700,TOODHA50K-0009,DHALL,bag,100,10,TOOR DHALL 50KG BAG
SUGAR 50KG BAG,2400,SUG50KBAG-0010,SUGAR,bag,100,10,SUGAR 50KG BAG
DRYED CHIK PEAS 30KG BAG,3200,DRYCHIPEA-0011,GENERAL,bag,100,10,DRYED CHIK PEAS 30KG BAG
KAMBU ( BAJRA),2000,KAMBAJ-0012,RICE,piece,100,10,KAMBU ( BAJRA)
RF SAMBA RAVA 500 GM,100,RFSAMRAV-0013,RICE,packet,100,10,RF SAMBA RAVA 500 GM
RF RAGI FLOUR 500GM,40,RFRAGFLO-0014,RICE,packet,100,10,RF RAGI FLOUR 500GM
RF RICE FLOUR 500GM,40,RFRICFLO-0015,RICE,packet,100,10,RF RICE FLOUR 500GM
RF KAMBU MAVU,75,RFKAMMAV-0016,RICE,piece,100,10,RF KAMBU MAVU
KASAKASA (POPYSEED),1750,KASPOP-0017,SEEDS,piece,100,10,KASAKASA (POPYSEED)
CHILLI POWDER 500GM,250,CHIPOW500-0018,SPICES,packet,100,10,CHILLI POWDER 500GM
SAKTHI CORIANDER POWDER 500GM,157,SAKCORPOW-0019,SPICES,packet,100,10,SAKTHI CORIANDER POWDER 500GM
SAKTHI BAJJI BONDA POWDER 200,41,SAKBAJBON-0020,SPICES,piece,100,10,SAKTHI BAJJI BONDA POWDER 200
UDHAYA KRISHNA GHEE 1LITRE JAR,950,UDHKRIGHE-0021,GHEE,liter,100,10,UDHAYA KRISHNA GHEE 1LITRE JAR
UDHAYA KRISHNA GHEE 200ML JAR,200,UDHKRIGHE-0022,GHEE,ml,100,10,UDHAYA KRISHNA GHEE 200ML JAR
SAKTHI TURMERIC POWDER 50GM,24,SAKTURPOW-0023,SPICES,packet,100,10,SAKTHI TURMERIC POWDER 50GM
SAKTHI TURMERIC POWDER 100GM,30,SAKTURPOW-0024,SPICES,packet,100,10,SAKTHI TURMERIC POWDER 100GM
SAKTHI CHILLI POWDER 50GM,23,SAKCHIPOW-0025,SPICES,packet,100,10,SAKTHI CHILLI POWDER 50GM
SAKTHI CHILLI POWDER 100GM,46,SAKCHIPOW-0026,SPICES,packet,100,10,SAKTHI CHILLI POWDER 100GM
SAKTHI KARMIRI CHILLI POWDER 50GM,60,SAKKARCHI-0027,SPICES,packet,100,10,SAKTHI KARMIRI CHILLI POWDER 50GM
SAKTHI CORIANDER POWDER 100GM,31,SAKCORPOW-0028,SPICES,packet,100,10,SAKTHI CORIANDER POWDER 100GM
SAKTHI PEPPER POWDER 50GM,90,SAKPEPPOW-0029,SPICES,packet,100,10,SAKTHI PEPPER POWDER 50GM
